RouteName,State,CentroidLat,CentroidLng,LengthMiles,AgencyTags
A1A Ocean Shore Scenic Highway,Florida,29.472546,-81.123682,6.8,STATE
A1A River to Sea Trail,Florida,29.591559,-81.185677,11.8,STATE
A1A Scenic & Historic Coastal Byway,Florida,29.839795,-81.266000,65.1,NSB
Abo Pass Trail,New Mexico,34.489728,-106.519969,37.5,STATE
Accommodation Line Scenic Byway,Ohio,39.567551,-84.038187,7.9,STATE
Adirondack Trail,New York,43.886637,-74.339976,178.4,STATE
Alaska Railroad,Alaska,62.764044,-149.162344,493.8,STATE
Alaska's Marine Highway,Alaska,57.889613,-146.782459,2876.0,"NSB, STATE"
Alligator River Route,North Carolina,35.805572,-76.063385,73.6,STATE
Alpine Loop National Back Country Byway,Colorado,37.946544,-107.480627,65.9,BLM
Altamaha Historic Scenic Byway,Georgia,31.426308,-81.392121,10.2,STATE
Amish Country Byway,Ohio,40.550604,-81.924360,78.7,"NSB, STATE"
Ancient Bristlecone Scenic Byway (Route 168),California,37.336514,-118.195841,35.6,"USFS, STATE"
Angel Lake Road,Nevada,41.055313,-115.034396,11.6,STATE
Angeles Crest Scenic Byway (Route 2),California,34.318073,-117.954045,56.7,"USFS, STATE"
Antietam Campaign Scenic Byway,Maryland / Pennsylvania / Virginia,39.454205,-77.562782,96.6,STATE
Apache Trail Historic Road,Arizona,33.549340,-111.331414,40.7,"USFS, STATE"
Apalachee Savannahs Scenic Byway,Florida,30.111192,-85.023209,32.2,USFS
Appalachian Medley,North Carolina,35.777106,-82.858378,42.4,STATE
Apple Blossom Scenic Drive,Minnesota,43.901230,-91.387709,15.8,STATE
Arkansas Scenic 7 Byway,Arkansas / Louisiana,34.784223,-93.014119,312.7,"USFS, STATE"
Arroyo Seco Historic Parkway - Route 110,California,34.102465,-118.190893,9.4,"NSB, STATE"
Ashley River Road,South Carolina,32.893836,-80.125435,12.2,"NSB, STATE"
Attakapas-Coushatta Scenic Byway,Louisiana / Texas,30.814493,-93.461451,23.1,STATE
"Avenue of Pines - TH 46, Deer River to Northome",Minnesota,47.567723,-94.085237,47.5,"USFS, STATE"
Back Mountain Backway,West Virginia,38.557154,-79.839882,2.3,STATE
Badlands Loop Scenic Byway,South Dakota,43.820874,-102.082208,38.0,STATE
Barbour County Governor's Trail,Alabama,31.842724,-85.397787,38.2,STATE
Barrel Springs Back Country Byway,California,41.698965,-120.136837,44.6,BLM
Bayou Teche Scenic Byway,Louisiana,29.995963,-91.668020,301.9,STATE
Bear Lake Scenic Byway,Utah,41.882187,-111.367223,10.0,STATE
Beartooth Highway,Montana / Wyoming,45.004109,-109.568123,68.3,"NSB, USFS"
Beaver Canyon Scenic Byway (U-153),Utah,38.270900,-112.540349,13.5,"USFS, STATE"
Bicentennial Highway,Utah,37.796557,-110.188357,121.3,STATE
Bienville Trace Scenic Byway,Arkansas / Louisiana,32.424876,-91.781941,570.1,STATE
Big Bend Scenic Byway,Florida,30.071345,-84.558473,192.2,STATE
Big Bone Lick Scenic Byway,Kentucky,38.932645,-84.798355,18.8,STATE
Big Cottonwood Canyon Scenic Byway,Utah,40.632691,-111.681857,13.5,"USFS, STATE"
Big Sheep Creek Back Country Byway,Montana,44.709012,-112.913194,55.5,BLM
Big Sky Back Country Byway,Montana,47.411467,-105.573746,116.0,BLM
Big Spring Scenic Backway,Wyoming,42.100741,-110.735293,64.7,STATE
Big Walker Mountain Scenic Byway,Virginia,37.022205,-81.168513,21.6,USFS
Bigfoot Scenic Byway,California,41.361799,-123.560225,81.6,USFS
Bighorn Scenic Byway,Wyoming,44.683627,-107.517804,51.5,"USFS, STATE"
Billy the Kid Trail,New Mexico,33.438742,-105.513983,84.2,"OTHER, NSB, STATE"
Birkhead Wilderness Route,North Carolina,35.576376,-79.934083,13.4,STATE
Bitter Springs Back Country Byway,Nevada,36.436605,-114.609866,22.4,BLM
Black Hills Back Country Byway,Arizona,32.916071,-109.345308,20.9,BLM
Black Mountain Rag,North Carolina,35.489105,-82.275235,28.7,STATE
Black River Scenic Byway,Michigan,46.594779,-90.079432,11.2,USFS
Black River Trail,New York,43.954545,-75.387184,124.7,STATE
Blue Buck Knob Scenic Byway,Missouri,36.942179,-92.096166,22.3,USFS
Blue Mountain Scenic Byway,Oregon,45.267947,-119.275891,133.5,"USFS, STATE"
Blue Ridge Parkway,North Carolina / Virginia,36.540151,-81.038128,467.2,"NSB, USFS, NPS"
Blue Route,Pennsylvania,39.996688,-75.339727,20.7,STATE
Blue-Gray Scenic Byway,North Carolina,35.230391,-77.921584,83.4,STATE
Boone Creek Scenic Byway,Kentucky,37.950017,-84.366492,3.1,STATE
Bradenton Beach Scenic Highway,Florida,27.406325,-82.653510,13.7,STATE
Bradshaw Trail,California,33.477439,-115.172380,55.8,BLM
